City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Fortuna,US,2022-03-26 16:52:13,40.5982,-124.1573,57.92,85,0,8.05
244,Pacific Grove,US,2022-03-26 16:52:14,36.6177,-121.9166,54.43,90,40,3.44
245,Conceicao Da Barra,BR,2022-03-26 16:52:14,-18.5933,-39.7322,86.29,58,73,9.37
246,Lamphun,TH,2022-03-26 16:52:15,18.25,98.9167,84.33,48,21,3.78
247,Galle,LK,2022-03-26 16:52:15,6.0367,80.217,79.18,81,33,6.13
248,Sambava,MG,2022-03-26 16:52:15,-14.2667,50.1667,79.7,86,11,5.61
249,Juba,SS,2022-03-26 16:52:16,4.8517,31.5825,88.66,38,98,8.08
250,Sao Joao Da Barra,BR,2022-03-26 16:52:16,-21.6403,-41.0511,93.29,76,62,13.53
251,Aklavik,CA,2022-03-26 16:52:16,68.2191,-135.0107,-9.4,70,20,6.91
252,Mulatupo,PA,2022-03-26 16:52:17,8.9492,-77.7652,83.97,68,94,9.44
253,Sampit,ID,2022-03-26 16:52:17,-2.5333,112.95,75.72,95,22,3.13
254,Inhambane,MZ,2022-03-26 16:52:17,-23.865,35.3833,77.0,88,75,0.0
255,Marzuq,YE,2022-03-26 16:52:18,14.4,46.4667,69.62,54,4,8.14
256,Iconha,BR,2022-03-26 16:52:18,-20.7931,-40.8111,88.32,61,15,5.3
257,Velikodvorskiy,RU,2022-03-26 16:52:18,55.25,40.6678,32.97,86,98,10.96
258,Dwarka,IN,2022-03-26 16:52:19,22.2394,68.9678,80.11,66,0,11.95
259,Caledonia,US,2022-03-26 16:52:19,42.8078,-87.9242,28.74,62,100,12.66
260,Maningrida,AU,2022-03-26 16:52:20,-12.0667,134.2667,75.92,92,100,5.53
261,Port Hardy,CA,2022-03-26 16:52:20,50.6996,-127.4199,42.98,100,100,2.3
262,Nizhniy Ufaley,RU,2022-03-26 16:52:21,55.9153,59.9842,13.15,94,57,5.95
263,Boyolangu,ID,2022-03-26 16:52:22,-8.1181,111.8935,74.77,94,100,5.44
264,Dembi Dolo,ET,2022-03-26 16:52:22,8.5333,34.8,74.86,26,96,4.99
265,Sangar,RU,2022-03-26 16:52:22,63.9242,127.4739,-7.94,99,90,3.02
266,Washington,US,2022-03-26 16:51:02,47.5001,-120.5015,49.57,55,94,3.51
267,Amapa,BR,2022-03-26 16:52:23,1.0,-52.0,72.93,97,100,4.61
268,Salalah,OM,2022-03-26 16:52:23,17.0151,54.0924,79.39,48,4,5.28
269,Nemuro,JP,2022-03-26 16:52:23,43.3236,145.575,42.08,97,100,38.39
270,Princesa Isabel,BR,2022-03-26 16:50:43,-7.7367,-37.9933,90.01,35,100,7.85
271,Shumskiy,RU,2022-03-26 16:52:24,54.8318,99.1328,30.99,82,100,9.13
272,Palmer,US,2022-03-26 16:52:24,42.1584,-72.3287,52.83,49,75,8.05
273,Sabang,ID,2022-03-26 16:52:24,5.8933,95.3214,83.5,70,38,6.15
274,Petropavlovsk-Kamchatskiy,RU,2022-03-26 16:52:25,53.0452,158.6483,16.39,73,0,11.18
275,Avera,US,2022-03-26 16:52:25,33.194,-82.5271,61.92,29,0,18.45
276,Greymouth,NZ,2022-03-26 16:52:26,-42.4667,171.2,53.51,85,46,6.06
277,Saint-Denis,FR,2022-03-26 16:53:26,48.9167,2.3333,67.14,25,0,17.27
278,Nouadhibou,MR,2022-03-26 16:53:26,20.931,-17.0347,69.78,64,0,17.27
279,Vostok,RU,2022-03-26 16:53:26,46.4856,135.8833,28.09,98,100,6.85
280,Anloga,GH,2022-03-26 16:53:27,5.7947,0.8973,83.46,79,52,8.61
281,Tooele,US,2022-03-26 16:53:27,40.5308,-112.2983,68.58,32,84,5.64
282,Kosh-Agach,RU,2022-03-26 16:53:27,50.0,88.6667,4.42,82,49,2.39
283,Kangaatsiaq,GL,2022-03-26 16:53:28,68.3065,-53.4641,17.17,82,100,9.37
284,Seydi,TM,2022-03-26 16:53:28,39.4816,62.9137,54.84,37,36,9.64
285,Grasse,FR,2022-03-26 16:50:42,43.6667,6.9167,60.1,31,0,8.05
286,Lermontovka,RU,2022-03-26 16:53:28,47.1453,134.3383,30.88,98,100,6.44
287,Mpika,ZM,2022-03-26 16:53:29,-11.8343,31.4529,64.89,95,94,3.53
288,Abha,SA,2022-03-26 16:53:29,18.2164,42.5053,64.22,68,0,6.91
289,Nevinnomyssk,RU,2022-03-26 16:53:29,44.6267,41.9453,37.85,87,97,8.93
290,Alcazar De San Juan,ES,2022-03-26 16:53:29,39.3901,-3.2083,50.0,76,100,11.12
291,Strejesti,RO,2022-03-26 16:53:30,44.5333,24.2667,57.79,43,0,7.05
292,Talnakh,RU,2022-03-26 16:53:30,69.4865,88.3972,20.21,77,100,5.77
293,Martigues,FR,2022-03-26 16:50:56,43.4,5.05,68.54,43,0,13.8
294,Seoul,KR,2022-03-26 16:50:50,37.5683,126.9778,46.0,66,0,3.44
